                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.4945,                  1.518,                 1.3027,                0.80879,                0.72609,                0.78979,                0.39935,                 1.5873,                 1.5739,                 1.4094,             0.00019961,             0.00019961,             0.00019961
                     57,                 1.5203,                  1.517,                 1.3407,                0.82421,                0.69962,                0.78833,                0.40818,                 1.5786,                 1.5528,                 1.4107,             0.00019188,             0.00019188,             0.00019188
                     58,                 1.4275,                 1.4789,                 1.3011,                0.79687,                0.72592,                0.79585,                0.41388,                 1.5686,                  1.522,                 1.4062,             0.00018414,             0.00018414,             0.00018414
                     59,                 1.4496,                 1.4793,                 1.2873,                0.79687,                0.72592,                0.79585,                0.41388,                 1.5686,                  1.522,                 1.4062,             0.00017641,             0.00017641,             0.00017641
                     60,                 1.4389,                 1.4999,                 1.2876,                0.80596,                  0.723,                 0.8051,                0.41293,                 1.5743,                 1.4819,                 1.4167,             0.00016867,             0.00016867,             0.00016867
                     61,                 1.4251,                 1.4536,                 1.2774,                0.81639,                0.72706,                0.81339,                0.41605,                 1.5817,                 1.4526,                 1.4198,             0.00016094,             0.00016094,             0.00016094
                     62,                 1.4475,                 1.4956,                 1.3042,                0.77366,                0.76308,                 0.8159,                 0.4204,                  1.569,                 1.4718,                 1.4161,              0.0001532,              0.0001532,              0.0001532
                     63,                 1.4531,                 1.5623,                 1.3174,                0.81549,                0.71004,                0.80617,                0.43138,                  1.576,                 1.4817,                 1.4183,             0.00014547,             0.00014547,             0.00014547
                     64,                 1.5123,                 1.5495,                 1.3472,                0.81549,                0.71004,                0.80617,                0.43138,                  1.576,                 1.4817,                 1.4183,             0.00013773,             0.00013773,             0.00013773
                     65,                  1.415,                 1.4729,                  1.286,                0.80504,                0.70774,                 0.7967,                0.41532,                 1.5937,                 1.5051,                 1.4274,                0.00013,                0.00013,                0.00013
                     66,                 1.4284,                 1.4567,                  1.289,                0.78397,                0.70595,                0.79122,                0.40353,                 1.6018,                  1.518,                 1.4371,             0.00012227,             0.00012227,             0.00012227
                     67,                 1.4318,                 1.4638,                 1.3085,                0.77549,                0.69809,                0.78583,                0.39936,                 1.6069,                 1.5298,                 1.4418,             0.00011453,             0.00011453,             0.00011453
                     68,                 1.4254,                 1.4537,                 1.2846,                0.79294,                0.71054,                0.78501,                0.39988,                 1.6166,                 1.5249,                 1.4429,              0.0001068,              0.0001068,              0.0001068
                     69,                 1.4285,                 1.3745,                 1.2462,                0.79294,                0.71054,                0.78501,                0.39988,                 1.6166,                 1.5249,                 1.4429,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     70,                 1.4452,                 1.4329,                 1.2739,                0.77881,                0.71622,                0.78419,                0.40268,                 1.6099,                 1.5261,                 1.4459,             9.1328e-05,             9.1328e-05,             9.1328e-05
                     71,                 1.4455,                 1.6235,                 1.3331,                0.77085,                0.72152,                0.78628,                0.39744,                 1.6253,                  1.538,                 1.4669,             8.3594e-05,             8.3594e-05,             8.3594e-05
                     72,                 1.4515,                 1.6591,                 1.3642,                0.77382,                 0.6745,                0.75652,                0.37792,                 1.6405,                 1.5799,                 1.4834,             7.5859e-05,             7.5859e-05,             7.5859e-05
                     73,                 1.4655,                 1.6346,                 1.3516,                0.69286,                0.72978,                0.74802,                0.36276,                  1.666,                 1.6406,                 1.5101,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     74,                 1.4179,                 1.6318,                 1.3225,                0.69286,                0.72978,                0.74802,                0.36276,                  1.666,                 1.6406,                 1.5101,             6.0391e-05,             6.0391e-05,             6.0391e-05
                     75,                 1.4625,                 1.6433,                 1.3388,                0.70035,                 0.7022,                0.74622,                0.35915,                 1.6768,                 1.6875,                 1.5273,             5.2656e-05,             5.2656e-05,             5.2656e-05
                     76,                 1.4506,                 1.5822,                  1.346,                0.70544,                0.66307,                0.70372,                0.34656,                 1.6913,                 1.7043,                 1.5378,             4.4922e-05,             4.4922e-05,             4.4922e-05
                     77,                   1.44,                 1.5685,                 1.3514,                0.71012,                0.68617,                0.72307,                0.34996,                 1.6936,                 1.7039,                 1.5369,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     78,                 1.4852,                 1.6119,                 1.3478,                0.73377,                0.67566,                0.73749,                0.35946,                 1.6809,                 1.6842,                 1.5217,             2.9453e-05,             2.9453e-05,             2.9453e-05
                     79,                 1.4641,                 1.6385,                 1.3455,                0.73377,                0.67566,                0.73749,                0.35946,                 1.6809,                 1.6842,                 1.5217,             2.1719e-05,             2.1719e-05,             2.1719e-05
                     80,                 1.4036,                 1.5372,                 1.3456,                0.74103,                0.68171,                0.74715,                0.36498,                 1.6709,                 1.6646,                 1.5076,             1.3984e-05,             1.3984e-05,             1.3984e-05
