                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                   1.08,                 1.3941,                0.71617,                 1.2331,                0.97779,                0.99284,                 0.9902,                 0.6246,                0.91562,                0.92661,                0.92309,                   0.56,                 1.2158,                0.80064,                0.60704,                 1.2195,             0.00051861,             0.00051861,             0.00051861
                     40,                 1.0661,                 1.3648,                0.71465,                 1.2142,                0.97521,                0.98843,                0.98743,                0.63613,                0.90543,                0.91541,                0.91249,                0.56232,                 1.2072,                0.89927,                 0.6055,                 1.2219,             0.00051822,             0.00051822,             0.00051822
                     41,                 1.0728,                 1.3879,                0.72182,                  1.204,                0.96175,                 0.9862,                0.98261,                 0.6092,                0.91723,                0.92273,                0.92419,                   0.57,                  1.275,                0.79084,                0.62234,                  1.225,             0.00051782,             0.00051782,             0.00051782
                     42,                 1.0876,                 1.2991,                0.70366,                  1.208,                0.95232,                0.98505,                0.98075,                0.61923,                0.91394,                0.91868,                0.92204,                0.56599,                 1.2537,                0.80863,                0.63185,                 1.2493,             0.00051741,             0.00051741,             0.00051741
                     43,                 1.0994,                 1.2927,                0.70304,                 1.2246,                0.96554,                0.99257,                0.98479,                 0.6419,                0.90271,                0.91846,                0.90976,                0.56142,                 1.1756,                0.83161,                 0.5937,                  1.209,             0.00051699,             0.00051699,             0.00051699
                     44,                 1.0459,                 1.3143,                0.68922,                 1.1977,                0.97486,                0.99558,                0.98576,                0.63454,                0.91313,                0.92689,                0.92176,                0.58182,                 1.1996,                0.79378,                0.57919,                 1.2143,             0.00051655,             0.00051655,             0.00051655
                     45,                 1.0218,                  1.286,                0.66953,                 1.1922,                 0.9682,                0.98654,                0.98168,                 0.6448,                0.90031,                0.91138,                0.90662,                0.56877,                 1.1704,                0.84337,                0.57389,                  1.206,             0.00051611,             0.00051611,             0.00051611
                     46,                 1.0005,                 1.2539,                 0.6538,                 1.1767,                0.96172,                0.99733,                 0.9859,                0.64882,                0.90951,                0.92312,                0.92247,                0.57905,                 1.1614,                0.87286,                0.55262,                 1.2008,             0.00051566,             0.00051566,             0.00051566
                     47,                 1.0028,                 1.3018,                0.65577,                 1.1756,                0.96897,                0.98722,                 0.9836,                0.65994,                0.89842,                0.91691,                0.90981,                0.57036,                 1.1357,                0.87928,                0.54698,                 1.1973,              0.0005152,              0.0005152,              0.0005152
                     48,                  1.015,                 1.2543,                0.66935,                 1.1765,                0.97524,                0.99144,                0.98387,                0.64874,                0.91076,                0.92236,                0.91673,                0.58491,                 1.1711,                 0.7724,                 0.5515,                 1.1861,             0.00051473,             0.00051473,             0.00051473
